Date,Open,High,Low,Close,Adj Close,Volume,Symbol
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
2025-06-06,19526.990234375,19593.1796875,19464.83984375,19529.94921875,19529.94921875,7291590000,^IXIC
2025-06-09,19573.140625,19637.560546875,19531.099609375,19591.240234375,19591.240234375,9538700000,^IXIC
2025-06-10,19620.109375,19730.380859375,19539.08984375,19714.990234375,19714.990234375,11221560000,^IXIC
2025-06-11,19779.359375,19800.4609375,19551.349609375,19615.880859375,19615.880859375,10214190000,^IXIC
2025-06-12,19578.869140625,19690.609375,19553.560546875,19662.490234375,19662.490234375,16308730000,^IXIC
2025-06-13,19450.9296875,19591.869140625,19367.419921875,19406.830078125,19406.830078125,9001850000,^IXIC
2025-06-16,19550.75,19733.310546875,19550.75,19701.2109375,19701.2109375,9619130000,^IXIC
2025-06-17,19627.080078125,19666.560546875,19485.439453125,19521.08984375,19521.08984375,8519930000,^IXIC
2025-06-18,19526.919921875,19660.76953125,19489.560546875,19546.26953125,19546.26953125,7818790000,^IXIC
2025-06-20,19639.41015625,19696.109375,19380.580078125,19447.41015625,19447.41015625,9969140000,^IXIC
2025-06-23,19427.009765625,19643.69921875,19334.98046875,19630.970703125,19630.970703125,9088000000,^IXIC
2025-06-24,19809.619140625,19946.720703125,19795.2890625,19912.529296875,19912.529296875,8330090000,^IXIC
2025-06-25,20013.94921875,20052.779296875,19918.080078125,19973.55078125,19973.55078125,8256120000,^IXIC
2025-06-26,20062.189453125,20187.150390625,19982.48046875,20167.91015625,20167.91015625,8383380000,^IXIC
2025-06-27,20217.259765625,20311.509765625,20095.05078125,20273.4609375,20273.4609375,10951070000,^IXIC
2025-06-30,20360.150390625,20418.310546875,20266.359375,20369.73046875,20369.73046875,8220420000,^IXIC
2025-07-01,20290.609375,20339.05078125,20105.41015625,20202.890625,20202.890625,8631710000,^IXIC
2025-07-02,20184.369140625,20397.220703125,20181.740234375,20393.130859375,20393.130859375,8378750000,^IXIC
2025-07-03,20497.66015625,20624.509765625,20480.220703125,20601.099609375,20601.099609375,6177910000,^IXIC
2025-07-07,20490.55078125,20511.8203125,20323.01953125,20412.51953125,20412.51953125,8345710000,^IXIC
2025-07-08,20466.9296875,20480.890625,20377.359375,20418.4609375,20418.4609375,8437480000,^IXIC
2025-07-09,20522.08984375,20645.41015625,20486.380859375,20611.33984375,20611.33984375,9978310000,^IXIC
2025-07-10,20636.48046875,20655.390625,20495.140625,20630.66015625,20630.66015625,9781380000,^IXIC
2025-07-11,20562.880859375,20647.970703125,20509.75,20585.529296875,20585.529296875,8135800000,^IXIC
2025-07-14,20592.560546875,20672.33984375,20492.630859375,20640.330078125,20640.330078125,8010060000,^IXIC
2025-07-15,20822.759765625,20836.0390625,20670.580078125,20677.80078125,20677.80078125,8399060000,^IXIC
2025-07-16,20717.810546875,20751.05078125,20507.060546875,20730.490234375,20730.490234375,9056640000,^IXIC
2025-07-17,20760.3203125,20911.830078125,20735.55078125,20885.650390625,20885.650390625,9994550000,^IXIC
2025-07-18,20959.5703125,20980.560546875,20846.119140625,20895.650390625,20895.650390625,9354580000,^IXIC
2025-07-21,20960.330078125,21077.369140625,20957.439453125,20974.1796875,20974.1796875,12046970000,^IXIC
2025-07-22,20982.2109375,20985.33984375,20750.900390625,20892.689453125,20892.689453125,10583710000,^IXIC
2025-07-23,20966.470703125,21023.849609375,20870.669921875,21020.01953125,21020.01953125,10972770000,^IXIC
2025-07-24,21083.8203125,21113.099609375,21001.6796875,21057.9609375,21057.9609375,12741070000,^IXIC
2025-07-25,21059.939453125,21159.80078125,21036.849609375,21108.3203125,21108.3203125,11028310000,^IXIC
2025-07-28,21176.400390625,21202.1796875,21122.119140625,21178.580078125,21178.580078125,10612580000,^IXIC
2025-07-29,21286.720703125,21303.9609375,21081.689453125,21098.2890625,21098.2890625,10040610000,^IXIC
2025-07-30,21140.400390625,21230.880859375,21016.919921875,21129.669921875,21129.669921875,9311770000,^IXIC
2025-07-31,21457.48046875,21457.48046875,21078.669921875,21122.44921875,21122.44921875,9917220000,^IXIC
2025-08-01,20830.640625,20865.630859375,20560.169921875,20650.130859375,20650.130859375,9667420000,^IXIC
2025-08-04,20853.91015625,21055.240234375,20833.859375,21053.580078125,21053.580078125,7355970000,^IXIC
2025-08-05,21092.099609375,21138.720703125,20893.2890625,20916.55078125,20916.55078125,7982940000,^IXIC
2025-08-06,20955.220703125,21183.880859375,20937.490234375,21169.419921875,21169.419921875,8580020000,^IXIC
2025-08-07,21325.009765625,21408.150390625,21090.05078125,21242.69921875,21242.69921875,8979190000,^IXIC
2025-08-08,21316.369140625,21464.529296875,21284.970703125,21450.01953125,21450.01953125,8669200000,^IXIC
2025-08-11,21459.650390625,21549.73046875,21346.619140625,21385.400390625,21385.400390625,9099730000,^IXIC
2025-08-12,21507.439453125,21689.6796875,21386.25,21681.900390625,21681.900390625,8382820000,^IXIC
2025-08-13,21764.55078125,21803.75,21645.140625,21713.140625,21713.140625,8763080000,^IXIC
2025-08-14,21649.2109375,21766.2890625,21627.130859375,21710.669921875,21710.669921875,9110860000,^IXIC
2025-08-15,21709.33984375,21716.1796875,21567.4609375,21622.98046875,21622.98046875,8158830000,^IXIC
